order_id,user_id,order_time,amount_inr,delivery_fee,promo_applied,delivery_time_mins,order_status
ORD_66d4a65b,U_2bf21782,2026-05-23T20:24:05.503672,697.43,0,FLAT_50,54,Delivered
ORD_a24970bf,U_2bf21782,2026-05-26T18:50:39.503672,538.2,0,NONE,27,Delivered
ORD_eba2487d,U_2bf21782,2026-05-30T15:15:34.503672,611.56,0,NONE,30,Delivered
ORD_22dacc46,U_2bf21782,2026-05-30T13:34:53.503672,627.75,0,BOGO,21,Delivered
ORD_e2ef14a3,U_2bf21782,2026-05-22T13:49:36.503672,566.67,0,FLAT_50,47,Delivered
ORD_ac1c5034,U_2bf21782,2026-05-21T15:51:29.503672,388.37,0,FLAT_50,26,Delivered
ORD_9b0bc60c,U_2bf21782,2026-05-21T23:09:52.503672,514.07,0,NONE,22,Delivered
ORD_0d2e5606,U_2bf21782,2026-05-25T14:38:35.503672,439.96,0,FREE_DELIVERY,37,Delivered
ORD_8b58b66e,U_2bf21782,2026-05-30T22:43:40.503672,959.96,0,BOGO,40,Delivered
ORD_d0558606,U_2bf21782,2026-05-28T05:42:44.503672,525.86,0,FREE_DELIVERY,36,Delivered
ORD_db69783e,U_2bf21782,2026-05-23T11:44:32.503672,393.01,0,NONE,38,Delivered
ORD_c0ee71b1,U_2bf21782,2026-05-30T14:12:08.503672,594.07,0,NONE,29,Delivered
ORD_2fc66669,U_2bf21782,2026-05-23T12:56:56.503672,593.95,0,DISCOUNT_20PCT,29,Delivered
ORD_9153dcc1,U_2bf21782,2026-05-24T12:08:14.503672,515.37,0,FREE_DELIVERY,23,Delivered
ORD_952bf4d6,U_2bf21782,2026-05-23T15:42:04.503672,610.76,0,NONE,42,Delivered
ORD_d9c564f3,U_2bf21782,2026-05-24T19:20:55.503672,806.44,0,NONE,31,Delivered
ORD_850d16ab,U_2bf21782,2026-05-26T19:10:58.503672,815.04,0,NONE,64,Cancelled
ORD_0e8ddb49,U_2bf21782,2026-05-21T12:04:38.503672,552.11,0,NONE,29,Delivered
ORD_6a903470,U_2bf21782,2026-05-30T17:02:24.503672,616.09,0,BOGO,38,Delivered
ORD_7ac8f489,U_5b8f174b,2026-03-09T13:53:31.503672,559.85,40,FLAT_50,33,Delivered
ORD_550a2dfb,U_a8db1bb6,2026-05-28T18:28:34.503672,652.58,40,FREE_DELIVERY,28,Delivered
ORD_5a2c6086,U_a8db1bb6,2026-05-23T12:51:57.503672,1016.12,40,FLAT_50,21,Delivered
ORD_e22a8692,U_a8db1bb6,2026-05-22T14:30:11.503672,631.48,40,DISCOUNT_20PCT,42,Delivered
ORD_12771e7d,U_512f2fc4,2026-03-21T10:56:33.503672,589.06,40,NONE,37,Delivered
ORD_58ed0882,U_734bc0d9,2026-05-06T14:31:13.503672,567.84,40,DISCOUNT_20PCT,31,Delivered
ORD_29254454,U_734bc0d9,2026-04-19T21:12:41.503672,1184.6,40,FLAT_50,23,Delivered
ORD_79cd5135,U_2dd02bdf,2026-01-15T02:26:24.503672,824.92,0,FREE_DELIVERY,70,Delivered
ORD_046c3900,U_2dd02bdf,2026-01-26T20:33:05.503672,574.94,0,DISCOUNT_20PCT,23,Delivered
ORD_71cda24c,U_2dd02bdf,2026-03-22T12:43:51.503672,846.36,0,FREE_DELIVERY,34,Delivered
ORD_fb5fc802,U_2dd02bdf,2026-04-18T22:16:57.503672,1089.79,0,FLAT_50,42,Delivered
ORD_0dd9d264,U_2dd02bdf,2026-05-25T13:59:51.503672,683.28,0,BOGO,43,Delivered
ORD_254bf6a8,U_2dd02bdf,2026-02-03T10:57:59.503672,642.86,0,FLAT_50,32,Delivered
ORD_fb2a054d,U_2dd02bdf,2026-01-11T12:59:10.503672,849.18,0,NONE,26,Delivered
ORD_4c747018,U_2dd02bdf,2026-01-30T17:49:41.503672,738.02,0,NONE,38,Delivered
ORD_60d5ad0d,U_2dd02bdf,2026-03-18T11:11:14.503672,853.06,0,FREE_DELIVERY,29,Delivered
ORD_5e5eca75,U_2dd02bdf,2026-04-18T22:43:49.503672,1004.53,0,FREE_DELIVERY,22,Delivered
ORD_fdebcded,U_2dd02bdf,2026-05-24T15:59:06.503672,936.15,0,BOGO,38,Delivered
ORD_536553c2,U_2dd02bdf,2026-03-09T18:28:07.503672,780.47,0,NONE,36,Delivered
ORD_ed64d072,U_2dd02bdf,2026-04-12T23:48:26.503672,886.45,0,BOGO,32,Delivered
ORD_1e4d10a7,U_2dd02bdf,2026-05-16T14:07:16.503672,727.77,0,DISCOUNT_20PCT,39,Delivered
ORD_2fc93a82,U_2dd02bdf,2026-01-27T22:52:05.503672,706.55,0,NONE,22,Delivered
ORD_e7113079,U_2dd02bdf,2026-03-21T09:00:27.503672,768.64,0,BOGO,22,Delivered
ORD_440f1726,U_2dd02bdf,2026-04-19T15:16:41.503672,827.46,0,FLAT_50,26,Delivered
ORD_2d740170,U_2dd02bdf,2026-03-03T10:01:28.503672,682.03,0,NONE,39,Delivered
ORD_86fe291b,U_2dd02bdf,2026-03-02T01:51:26.503672,989.4,0,BOGO,48,Delivered
ORD_f0f20d25,U_2dd02bdf,2026-03-29T23:20:09.503672,730.66,0,DISCOUNT_20PCT,50,Delivered
ORD_8c70fa28,U_2dd02bdf,2026-05-22T23:07:38.503672,641.87,0,NONE,28,Delivered
ORD_a30cd5a5,U_2dd02bdf,2026-04-27T18:12:53.503672,715.29,0,BOGO,28,Delivered
ORD_6f5768d7,U_2dd02bdf,2026-01-10T23:02:09.503672,1105.61,0,BOGO,41,Delivered
ORD_10241914,U_2dd02bdf,2026-03-13T23:45:23.503672,829.85,0,BOGO,24,Delivered
ORD_9f7375c2,U_2dd02bdf,2026-03-28T21:33:58.503672,901.6,0,FLAT_50,22,Delivered
ORD_4b93c369,U_2dd02bdf,2026-04-01T14:27:27.503672,770.14,0,NONE,25,Delivered
ORD_962fbbd9,U_2dd02bdf,2026-05-02T15:13:23.503672,772.59,0,FLAT_50,44,Delivered
ORD_062eec63,U_2dd02bdf,2026-04-16T12:32:04.503672,768.71,0,NONE,38,Cancelled
ORD_d185ec93,U_2dd02bdf,2026-05-16T13:12:12.503672,914.14,0,FLAT_50,52,Delivered
ORD_6d46706a,U_2dd02bdf,2026-03-14T12:51:14.503672,671.74,0,DISCOUNT_20PCT,21,Delivered
ORD_7a7ac3d0,U_2dd02bdf,2026-04-10T22:10:13.503672,676.5,0,NONE,70,Delivered
ORD_b66dd0a8,U_2dd02bdf,2026-05-26T15:54:00.503672,473.05,0,NONE,31,Delivered
ORD_fea7d9ba,U_2dd02bdf,2026-03-21T16:47:42.503672,960.01,0,FREE_DELIVERY,41,Delivered
ORD_444d70e9,U_2dd02bdf,2026-04-04T20:42:31.503672,891.72,0,FREE_DELIVERY,22,Delivered
ORD_e4f240f8,U_2dd02bdf,2026-01-11T21:20:30.503672,1140.03,0,FLAT_50,43,Delivered
ORD_b1d96a94,U_2dd02bdf,2026-04-27T19:22:31.503672,669.64,0,FREE_DELIVERY,28,Delivered
ORD_b48f60e3,U_2dd02bdf,2026-04-09T13:55:26.503672,803.21,0,NONE,45,Delivered
ORD_360a4fac,U_2dd02bdf,2026-04-01T18:05:31.503672,994.01,0,NONE,51,Delivered
ORD_4a43ea85,U_2dd02bdf,2026-02-09T13:11:33.503672,624.06,0,NONE,28,Delivered
ORD_326aba11,U_2dd02bdf,2026-03-21T19:05:10.503672,970.27,0,FLAT_50,40,Delivered
ORD_d4fcf9cc,U_2dd02bdf,2026-03-07T14:38:24.503672,626.22,0,DISCOUNT_20PCT,41,Delivered
ORD_26307faf,U_2dd02bdf,2026-04-19T13:04:43.503672,757.07,0,NONE,28,Delivered
ORD_680aa7a5,U_2dd02bdf,2026-04-11T16:44:19.503672,805.57,0,DISCOUNT_20PCT,28,Delivered
ORD_031d887a,U_2dd02bdf,2026-01-20T17:55:46.503672,794.11,0,BOGO,34,Delivered
ORD_31ca3f71,U_096ab404,2026-02-21T12:33:42.503672,657.23,40,DISCOUNT_20PCT,68,Cancelled
ORD_d870369a,U_096ab404,2026-04-01T09:31:29.503672,498.44,40,NONE,43,Delivered
ORD_4a0623aa,U_096ab404,2026-02-28T13:36:17.503672,606.67,40,FLAT_50,29,Delivered
ORD_54bb6e38,U_096ab404,2026-01-31T15:27:59.503672,692.48,40,NONE,25,Delivered
ORD_dceb397f,U_90e1a0cb,2026-05-23T22:51:45.503672,643.9,0,FLAT_50,22,Delivered
