user_id,signup_date,age,city,city_tier,platform,acquisition_channel,is_zomato_gold,onboarding_cohort,user_type
U_2bf21782,2026-05-21 13:09:16.503672,24,Lucknow,Tier_2,Android,paid_search,True,Standard,regular
U_5b8f174b,2025-12-14 13:09:16.503672,25,Lucknow,Tier_2,iOS,social_media,False,Standard,regular
U_e487565f,2025-09-21 13:09:16.503672,26,Lucknow,Tier_2,Android,social_media,False,Standard,regular
U_4df069d3,2026-02-02 13:09:16.503672,30,Delhi,Tier_1,Android,paid_search,False,Standard,regular
U_1dfd0fa7,2026-01-17 13:09:16.503672,24,Chennai,Tier_1,Web,social_media,True,Standard,occasional
U_a8db1bb6,2026-05-16 13:09:16.503672,48,Chennai,Tier_1,iOS,referral,False,Frictionless,regular
U_d5faf46a,2026-04-21 13:09:16.503672,23,Bangalore,Tier_1,iOS,social_media,False,Standard,regular
U_512f2fc4,2025-10-29 13:09:16.503672,23,Surat,Tier_3,iOS,social_media,False,Standard,regular
U_3ae9ceea,2026-02-25 13:09:16.503672,27,Mumbai,Tier_1,iOS,social_media,False,Standard,occasional
U_73b043d9,2026-04-06 13:09:16.503672,49,Lucknow,Tier_2,iOS,social_media,False,Frictionless,window_shopper
U_734bc0d9,2026-03-20 13:09:16.503672,26,Bangalore,Tier_1,iOS,social_media,False,Frictionless,regular
U_2dd02bdf,2026-01-05 13:09:16.503672,29,Bangalore,Tier_1,iOS,social_media,True,Frictionless,window_shopper
U_096ab404,2025-11-09 13:09:16.503672,30,Pune,Tier_2,iOS,email,False,Standard,power_user
U_90e1a0cb,2026-01-16 13:09:16.503672,22,Chandigarh,Tier_2,iOS,paid_search,True,Standard,regular
U_827765c5,2026-03-25 13:09:16.503672,30,Hyderabad,Tier_1,Android,paid_search,False,Standard,regular
U_8a95888d,2025-09-19 13:09:16.503672,29,Delhi,Tier_1,Android,organic,True,Standard,window_shopper
U_64884053,2025-08-16 13:09:16.503672,25,Hyderabad,Tier_1,Android,social_media,False,Frictionless,window_shopper
U_752ae00c,2025-09-14 13:09:16.503672,21,Indore,Tier_3,iOS,social_media,False,Standard,regular
U_30917e57,2026-05-15 13:09:16.503672,29,Delhi,Tier_1,Android,paid_search,False,Standard,power_user
U_9887068e,2025-11-26 13:09:16.503672,37,Chandigarh,Tier_2,iOS,social_media,False,Frictionless,power_user
U_d72c1bc2,2025-09-22 13:09:16.503672,23,Chennai,Tier_1,iOS,social_media,False,Frictionless,window_shopper
U_00f411e0,2025-07-26 13:09:16.503672,27,Bhopal,Tier_3,iOS,referral,False,Standard,occasional
U_3eecf4ce,2026-01-13 13:09:16.503672,24,Chandigarh,Tier_2,Android,organic,False,Standard,occasional
U_f8fc70b2,2026-05-03 13:09:16.503672,21,Jaipur,Tier_2,iOS,email,True,Standard,occasional
U_056451c3,2026-03-20 13:09:16.503672,34,Ahmedabad,Tier_2,Android,social_media,False,Frictionless,regular
U_781b2ba7,2025-12-13 13:09:16.503672,27,Mumbai,Tier_1,iOS,referral,False,Frictionless,occasional
U_45bf3a13,2025-06-11 13:09:16.503672,47,Delhi,Tier_1,iOS,social_media,True,Standard,occasional
U_3c98051e,2025-09-10 13:09:16.503672,19,Chennai,Tier_1,Android,paid_search,False,Standard,occasional
